iter	Passed	Remaining
0	50	14958
1	87	13014
2	129	12801
3	161	11942
4	189	11199
5	219	10742
6	247	10358
7	275	10073
8	302	9794
9	330	9578
10	360	9481
11	388	9335
12	415	9182
13	444	9076
14	474	9008
15	502	8911
16	530	8833
17	557	8728
18	584	8644
19	615	8612
20	644	8556
21	671	8485
22	698	8406
23	725	8337
24	751	8263
25	780	8220
26	809	8188
27	840	8167
28	872	8152
29	900	8100
30	928	8053
31	956	8011
32	984	7962
33	1014	7933
34	1043	7901
35	1095	8036
36	1181	8398
37	1222	8431
38	1254	8395
39	1283	8340
40	1314	8303
41	1344	8256
42	1373	8208
43	1403	8167
44	1433	8122
45	1463	8078
46	1491	8028
47	1519	7978
48	1550	7941
49	1580	7901
50	1609	7858
51	1639	7818
52	1667	7772
53	1694	7718
54	1723	7676
55	1751	7629
56	1778	7583
57	1806	7536
58	1834	7492
59	1860	7442
60	1887	7397
61	1914	7350
62	1941	7303
63	1967	7255
64	1992	7204
65	2018	7157
66	2043	7107
67	2071	7066
68	2098	7024
69	2124	6980
70	2151	6938
71	2177	6893
72	2204	6854
73	2230	6812
74	2257	6772
75	2283	6729
76	2307	6683
77	2333	6640
78	2360	6604
79	2387	6564
80	2413	6524
81	2439	6486
82	2466	6448
83	2492	6409
84	2519	6371
85	2544	6332
86	2571	6295
87	2597	6258
88	2623	6219
89	2649	6182
90	2675	6145
91	2701	6106
92	2727	6071
93	2753	6035
94	2781	6001
95	2805	5961
96	2831	5925
97	2856	5888
98	2882	5852
99	2908	5816
100	2935	5782
101	2962	5751
102	2989	5717
103	3017	5686
104	3043	5652
105	3071	5621
106	3097	5586
107	3124	5554
108	3151	5521
109	3176	5487
110	3202	5452
111	3228	5420
112	3255	5387
113	3281	5353
114	3307	5321
115	3333	5287
116	3359	5254
117	3385	5221
118	3413	5191
119	3439	5158
120	3465	5126
121	3491	5093
122	3518	5063
123	3544	5031
124	3571	4999
125	3597	4967
126	3622	4935
127	3648	4902
128	3674	4871
129	3700	4839
130	3727	4808
131	3752	4776
132	3779	4745
133	3804	4712
134	3830	4682
135	3856	4650
136	3883	4621
137	3910	4590
138	3938	4561
139	3965	4531
140	3989	4499
141	4017	4469
142	4043	4439
143	4068	4407
144	4092	4375
145	4118	4344
146	4144	4313
147	4169	4282
148	4196	4252
149	4221	4221
150	4248	4191
151	4274	4162
152	4300	4131
153	4325	4100
154	4351	4070
155	4376	4040
156	4403	4010
157	4429	3981
158	4454	3950
159	4481	3921
160	4507	3891
161	4534	3862
162	4559	3831
163	4584	3801
164	4610	3772
165	4636	3742
166	4664	3714
167	4690	3685
168	4715	3655
169	4741	3625
170	4767	3596
171	4793	3567
172	4818	3537
173	4844	3508
174	4870	3478
175	4896	3449
176	4923	3421
177	4948	3391
178	4974	3362
179	5000	3333
180	5026	3304
181	5052	3275
182	5078	3247
183	5105	3218
184	5131	3190
185	5157	3161
186	5183	3132
187	5210	3104
188	5236	3075
189	5262	3046
190	5288	3018
191	5314	2989
192	5340	2960
193	5365	2931
194	5391	2902
195	5416	2874
196	5444	2846
197	5471	2818
198	5496	2789
199	5521	2760
200	5546	2731
201	5572	2703
202	5598	2675
203	5625	2647
204	5651	2619
205	5676	2590
206	5704	2562
207	5728	2533
208	5754	2505
209	5780	2477
210	5807	2449
211	5833	2421
212	5860	2393
213	5886	2365
214	5912	2337
215	5939	2309
216	5965	2281
217	5992	2254
218	6019	2226
219	6045	2198
220	6071	2170
221	6096	2142
222	6123	2114
223	6148	2086
224	6174	2058
225	6201	2030
226	6227	2002
227	6253	1974
228	6280	1947
229	6307	1919
230	6334	1892
231	6359	1863
232	6385	1836
233	6410	1808
234	6436	1780
235	6461	1752
236	6488	1724
237	6512	1696
238	6540	1669
239	6567	1641
240	6591	1613
241	6618	1586
242	6645	1558
243	6672	1531
244	6698	1503
245	6725	1476
246	6751	1448
247	6777	1421
248	6804	1393
249	6832	1366
250	6863	1339
251	6895	1313
252	6931	1287
253	6966	1261
254	6997	1234
255	7027	1207
256	7062	1181
257	7092	1154
258	7134	1129
259	7161	1101
260	7187	1074
261	7216	1046
262	7242	1018
263	7267	991
264	7293	963
265	7321	935
266	7348	908
267	7375	880
268	7401	852
269	7427	825
270	7453	797
271	7480	770
272	7507	742
273	7532	714
274	7558	687
275	7585	659
276	7611	632
277	7637	604
278	7665	576
279	7690	549
280	7715	521
281	7740	494
282	7766	466
283	7792	439
284	7817	411
285	7844	383
286	7871	356
287	7896	329
288	7923	301
289	7948	274
290	7976	246
291	8002	219
292	8029	191
293	8054	164
294	8080	136
295	8106	109
296	8132	82
297	8158	54
298	8184	27
299	8210	0
