iter	Logloss
0	0.6395226991
1	0.6096033791
2	0.5754979185
3	0.5426551584
4	0.5161758575
5	0.4938200124
6	0.4783246265
7	0.4629035477
8	0.4531183089
9	0.4392791749
10	0.4284938953
11	0.4192828644
12	0.4109929553
13	0.4033315515
14	0.3960595285
15	0.3896314347
16	0.3822733642
17	0.374186085
18	0.3699910895
19	0.3666099936
20	0.3625418393
21	0.3589247879
22	0.3587594662
23	0.3520165995
24	0.3485871736
25	0.3453717172
26	0.3426563905
27	0.3390801293
28	0.3358075067
29	0.3318006744
30	0.3291563783
31	0.3260538761
32	0.3223987224
33	0.3185161191
34	0.3138169323
35	0.309275706
36	0.3054492341
37	0.3038096452
38	0.3023307909
39	0.3001800972
40	0.2974585521
41	0.2952398394
42	0.2912414362
43	0.2896953971
44	0.2866334785
45	0.28399247
46	0.280210106
47	0.2767709595
48	0.2733479024
49	0.2709316548
50	0.2685978022
51	0.2671848791
52	0.2648757747
53	0.2626083666
54	0.2608741235
55	0.2583610519
56	0.2560786938
57	0.2532261354
58	0.2516053686
59	0.24996188
60	0.2470491143
61	0.2448627494
62	0.2423267956
63	0.241178659
64	0.2400747165
65	0.2349550546
66	0.2319891961
67	0.2308137438
68	0.2273515704
69	0.2256298084
70	0.224603282
71	0.224184369
72	0.2222317559
73	0.2210754702
74	0.218539847
75	0.2171809007
76	0.215009597
77	0.2124390014
78	0.2111195845
79	0.2100983716
80	0.2086121033
81	0.2070131171
82	0.2056089536
83	0.2035966339
84	0.2003568134
85	0.1989125981
86	0.1971452594
87	0.1955006066
88	0.1945167397
89	0.1935258292
90	0.1926801131
91	0.1907278912
92	0.1897717407
93	0.1872270177
94	0.1834690132
95	0.1822687721
96	0.1806263332
97	0.1778826474
98	0.1756914612
99	0.174566567
100	0.1735740609
101	0.1725307125
102	0.1703980699
103	0.1689243878
104	0.1664519542
105	0.163846158
106	0.1619970928
107	0.1604060743
108	0.1588939916
109	0.1585978425
110	0.1577168946
111	0.1561999019
112	0.1553371628
113	0.1533855958
114	0.1525764001
115	0.1519982041
116	0.1506362504
117	0.1492211602
118	0.1480201985
119	0.146585498
120	0.1454843314
121	0.1436524961
122	0.1429740651
123	0.1417319176
124	0.140088403
125	0.1388857282
126	0.1383184821
127	0.1373946739
128	0.1368735862
129	0.1359298444
130	0.134128122
131	0.1333155293
132	0.1324670609
133	0.1312912578
134	0.1304578595
135	0.1293105316
136	0.1290430546
137	0.1286237936
138	0.1277771049
139	0.1269450999
140	0.1264630705
141	0.1260290087
142	0.1247022899
143	0.123847015
144	0.1223605663
145	0.1205909548
146	0.1203179336
147	0.119349405
148	0.1179444353
149	0.1171998899
150	0.1169705282
151	0.1161519925
152	0.1149137911
153	0.1148257219
154	0.113766157
155	0.112455573
156	0.112056086
157	0.1109116015
158	0.1095132805
159	0.1090027544
160	0.1076270863
161	0.1067372902
162	0.1060082283
163	0.1052580092
164	0.1042600813
165	0.1032339662
166	0.1022141385
167	0.1015819576
168	0.1010880189
169	0.1005812233
170	0.09974653122
171	0.0983546117
172	0.09733085173
173	0.09651782238
174	0.09574567705
175	0.09488172041
176	0.09404149499
177	0.09279335321
178	0.09226718816
179	0.09200178022
180	0.09131893511
181	0.09023098025
182	0.08987368151
183	0.08947755735
184	0.08905645412
185	0.08763440033
186	0.08650003492
187	0.08562110235
188	0.08492497462
189	0.08465914137
190	0.08417648681
191	0.08384403894
192	0.08268529008
193	0.08212994501
194	0.082063277
195	0.08160270505
196	0.08101641229
197	0.08039549957
198	0.08001406023
199	0.07975585404
200	0.07939393329
201	0.0785487056
202	0.0778533495
203	0.07740422416
204	0.07672853447
205	0.07651842536
206	0.07621894738
207	0.07586476306
208	0.07543633792
209	0.07472796973
210	0.07336178622
211	0.07291355546
212	0.07249403523
213	0.07197718663
214	0.07147354161
215	0.07113993943
216	0.07046512952
217	0.06952823615
218	0.06924651291
219	0.06906529445
220	0.0686411893
221	0.06797603713
222	0.0678170482
223	0.06730454396
224	0.06663387087
225	0.06598163282
226	0.06560222455
227	0.0652918015
228	0.06486486644
229	0.06457722826
230	0.06386454356
231	0.06377328233
232	0.06313379704
233	0.06281645952
234	0.06246427356
235	0.06202215307
236	0.06191139599
237	0.06166672109
238	0.06111513204
239	0.06068508352
240	0.06042714094
241	0.06029021719
242	0.05992065197
243	0.05946688609
244	0.05936787595
245	0.05893826524
246	0.05861274932
247	0.05838447895
248	0.05805795553
249	0.05801134858
250	0.05795324058
251	0.05744350319
252	0.0570894815
253	0.05643070791
254	0.05592368046
255	0.05533864262
256	0.05515532352
257	0.05494176766
258	0.0545851881
259	0.05429952742
260	0.05424329403
261	0.05393120568
262	0.05384954926
263	0.0534082773
264	0.05339157014
265	0.05310477349
266	0.05255935169
267	0.05234990858
268	0.0519732591
269	0.05144194107
270	0.05128918474
271	0.05105791527
272	0.05075903918
273	0.05064150892
274	0.05039896754
275	0.05019853934
276	0.04983402432
277	0.0496207123
278	0.0493171142
279	0.04906275614
280	0.04883066034
281	0.04844708006
282	0.04795781148
283	0.04769158634
284	0.04761760296
