iter	MultiClass
0	1.81978053
1	1.717526094
2	1.634970636
3	1.566757064
4	1.510400543
5	1.460810038
6	1.419779651
7	1.38320677
8	1.350971279
9	1.320143177
10	1.293084822
11	1.269566162
12	1.249097697
13	1.229511232
14	1.212157167
15	1.196847447
16	1.181598358
17	1.166853993
18	1.154425363
19	1.143657051
20	1.132639285
21	1.122532159
22	1.113826139
23	1.104650617
24	1.096729535
25	1.089196818
26	1.083073411
27	1.077228658
28	1.071498344
29	1.065408829
30	1.059414997
31	1.054139005
32	1.049965594
33	1.045232599
34	1.041145304
35	1.036692101
36	1.032835378
37	1.02876308
38	1.024454871
39	1.021549949
40	1.017237907
41	1.0137909
42	1.00975122
43	1.006505789
44	1.004079955
45	1.00142822
46	0.9991400962
47	0.9965938627
48	0.9941282654
49	0.9917317527
50	0.9893858532
51	0.9856480946
52	0.9832459818
53	0.9808228799
54	0.9784318347
55	0.9757999684
56	0.9733221947
57	0.9714224633
58	0.9693337294
59	0.9665217108
60	0.9634677654
61	0.961017404
62	0.9591104458
63	0.9564859473
64	0.9544269292
65	0.9518571565
66	0.9503127532
67	0.9471798872
68	0.9449474127
69	0.9423969547
70	0.9406525861
71	0.9389715537
72	0.9377378579
73	0.9354824218
74	0.9332349696
75	0.9315109394
76	0.9298000151
77	0.9283732416
78	0.9265145891
79	0.9248274717
80	0.9235274447
81	0.9219858451
82	0.9198779558
83	0.9178703185
84	0.9164993002
85	0.9147131598
86	0.912404121
87	0.9110674564
88	0.9089428821
89	0.9073554333
90	0.9063295136
91	0.9047279766
92	0.9018208481
93	0.9009083833
94	0.8998453685
95	0.8984809519
96	0.8973780003
97	0.8965671592
98	0.894674694
99	0.8933907159
100	0.892301782
101	0.8916501452
102	0.8904695808
103	0.888598502
104	0.8859732174
105	0.8848152681
106	0.8833434139
107	0.8823896146
108	0.8804782892
109	0.8793705673
110	0.8778808512
111	0.8760561497
112	0.8752831834
113	0.8741796244
114	0.8726465898
115	0.871207572
116	0.8702462279
117	0.8683713888
118	0.8675766289
119	0.865860049
120	0.8647550699
121	0121	0.869275122	0122	0.868006123	0123	0.86707124	0.8584502114
