iter	Passed	Remaining
401	25023	37224
402	25065	37132
403	25100	37029
404	25187	37003
405	25226	36907
406	25308	36874
407	25361	36798
408	25428	36743
409	25483	36671
410	25526	36581
411	25608	36547
412	25675	36492
413	25752	36452
414	25798	36367
415	25852	36292
416	25901	36212
417	25926	36098
418	25967	36007
419	26043	35964
420	26100	35896
421	26134	35796
422	26169	35696
423	26227	35629
424	26304	35588
425	26351	35506
426	26443	35485
427	26479	35388
428	26537	35321
429	26610	35274
430	26668	35207
431	26726	35140
432	26784	35073
433	26851	35017
434	26931	34980
435	26984	34906
436	27048	34847
437	27096	34767
438	27143	34686
439	27223	34648
440	27246	34536
441	27322	34492
442	27377	34423
443	27486	34420
444	27526	34330
445	27596	34279
446	27629	34181
447	27696	34125
448	27792	34106
449	27843	34030
450	27895	33957
451	27944	33879
452	28013	33825
453	28064	33751
454	28118	33680
455	28153	33586
456	28249	33566
457	28300	33491
458	28366	33433
459	28432	33376
460	28483	33303
461	28535	33229
462	28566	33132
463	28611	33051
464	28694	33014
465	28754	32950
466	28879	32961
467	28971	32933
468	29067	32910
469	29107	32823
470	29164	32755
471	29232	32700
472	29326	32674
473	29420	32648
474	29475	32577
475	29542	32521
476	29641	32500
477	29693	32426
478	29767	32377
479	29834	32320
480	29933	32298
481	29978	32217
482	30124	32245
483	30198	32194
484	30232	32103
485	30269	32013
486	30383	32005
487	30441	31938
488	30509	31882
489	30615	31865
490	30688	31813
491	30763	31763
492	30831	31706
493	30887	31638
494	30960	31586
495	31008	31508
496	31075	31450
497	31147	31397
498	31199	31324
499	31227	31227
500	31307	31182
501	31405	31154
502	31447	31072
503	31542	31041
504	31568	30943
505	31618	30868
506	31649	30775
507	31707	30709
508	31762	30639
509	31798	30551
510	31846	30474
511	31893	30398
512	32000	30378
513	32075	30328
514	32162	30289
515	32226	30227
516	32283	30160
517	32317	30071
518	32360	29990
519	32416	29923
520	32453	29836
521	32542	29799
522	32589	29722
523	32635	29645
524	32689	29575
525	32775	29534
526	32808	29446
527	32835	29352
528	32881	29276
529	32949	29218
530	33017	29162
531	33082	29102
532	33130	29027
533	33203	28975
534	33270	28917
535	33344	28865
536	33359	28762
537	33443	28718
538	33510	28660
539	33592	28616
540	33623	28527
541	33681	28461
542	33767	28419
543	33804	28336
544	33863	28271
545	33924	28208
546	33998	28156
547	34088	28116
548	34131	28038
549	34166	27954
550	34275	27930
551	34312	27847
552	34394	27801
553	34431	27719
554	34495	27658
555	34564	27602
556	34609	27526
557	34703	27488
558	34787	27443
559	34855	27386
560	34943	27344
561	34980	27262
562	35040	27198
563	35102	27136
564	35163	27072
565	35230	27014
566	35280	26942
567	35386	26913
568	35431	26838
569	35463	26753
570	35533	26696
571	35564	26611
572	35646	26564
573	35701	26496
574	35777	26444
575	35808	26358
576	35849	26281
577	35886	26201
578	35934	26128
579	36000	26069
580	36056	26002
581	36118	25940
582	36185	25882
583	36218	25799
584	36284	25740
585	36343	25676
586	36392	25604
587	36482	25562
588	36524	25486
589	36590	25427
590	36617	25341
591	36672	25274
592	36764	25232
593	36829	25173
594	36863	25092
595	36941	25040
596	37006	24980
597	37120	24953
598	37160	24877
599	37232	24821
600	37306	24767
601	37406	24730
602	37469	24668
603	37538	24611
604	37601	24549
605	37676	24495
606	37709	24414
607	37797	24369
608	37864	24310
609	37942	24258
610	38010	24200
611	38087	24147
612	38114	24062
613	38178	24001
614	38274	23960
615	38372	23920
616	38420	23849
617	38604	23862
618	38764	23859
619	38893	23838
620	38970	23784
621	39040	23725
622	39141	23685
623	39219	23632
624	39361	23616
625	39394	23536
626	39491	23493
627	39571	23440
628	39625	23372
629	39694	23312
630	39760	23251
631	39830	23192
632	39933	23152
633	40057	23124
634	40145	23075
635	40214	23015
636	40366	23003
637	40424	22936
638	40544	22905
639	40606	22841
640	40755	22825
641	40906	22810
642	40981	22753
643	41050	22692
644	41139	22642
645	41234	22595
646	41329	22549
647	41366	22470
648	41395	22388
649	41457	22323
650	41510	22253
651	41584	22195
652	41623	22118
653	41692	22057
654	41748	21989
655	41815	21927
656	41852	21849
657	41904	21780
658	41954	21709
659	41991	21631
660	42085	21583
661	42207	21549
662	42281	21491
663	42386	21448
664	42475	21397
665	42577	21352
666	42615	21275
667	42661	21203
668	42721	21137
669	42779	21070
670	42862	21015
671	42939	20958
672	42969	20878
673	43028	20811
674	43099	20751
675	43187	20699
676	43296	20657
677	43391	20607
678	43463	20547
679	43512	20476
680	43600	20423
681	43659	20357
682	43715	20289
683	43773	20223
684	43834	20157
685	43878	20084
686	43948	20023
687	44058	19979
688	44116	19913
689	44168	19843
690	44236	19781
691	44349	19739
692	44405	19671
693	44476	19610
694	44539	19546
695	44584	19473
696	44614	19394
697	44680	19331
698	44720	19257
699	44777	19190
700	44891	19147
701	44966	19088
702	45024	19021
703	45061	18946
704	45156	18895
705	45193	18819
706	45262	18757
707	45358	18707
708	45463	18660
709	45513	18589
710	45557	18517
711	45596	18443
712	45659	18379
713	45691	18302
714	45753	18237
715	45815	18172
716	45871	18105
717	45944	18044
718	46034	17991
719	46051	17909
720	46098	17838
721	46167	17776
722	46256	17721
723	46310	17654
724	46363	17586
725	46505	17551
726	46567	17486
727	46689	17444
728	46761	17383
729	46831	17321
730	46881	17252
731	46918	17177
732	46953	17103
733	47069	17058
734	47131	16992
735	47245	16946
736	47290	16875
737	47399	16827
738	47470	16765
739	47588	16720
740	47658	16657
741	47698	16585
742	47774	16525
743	47833	16458
744	47858	16381
745	47969	16332
746	48048	16273
747	48115	16209
748	48248	16168
749	48328	16109
750	48395	16045
751	48430	15971
752	48501	15909
753	48556	15842
754	48613	15775
755	48645	15700
756	48721	15639
757	48800	15580
758	48864	15515
759	48967	15463
760	49024	15396
761	49077	15328
762	49113	15255
763	49141	15179
764	49225	15121
765	49310	15063
766	49368	14997
767	49462	14941
768	49568	14889
769	49708	14847
770	49829	14800
771	49889	14734
772	49950	14668
773	49994	14597
774	50024	14523
775	50102	14462
776	50206	14409
777	50251	14339
778	50350	14284
779	50403	14216
780	50481	14155
781	50534	14087
782	50568	14014
783	50618	13946
784	50648	13871
785	50679	13798
786	50698	13721
787	50721	13645
788	50760	13574
789	50782	13499
790	50797	13421
791	50822	13347
792	50841	13271
793	50877	13199
794	50896	13124
795	50915	13048
796	50933	12973
797	50957	12899
798	50974	12823
799	50995	12748
800	51017	12674
801	51034	12599
802	51058	12526
803	51080	12452
804	51105	12379
805	51134	12307
806	51163	12236
807	51188	12163
808	51206	12089
809	51225	12015
810	51245	11942
811	51264	11869
812	51286	11796
813	51325	11727
814	51359	11658
815	51382	11586
816	51400	11513
817	51422	11441
818	51441	11368
819	51463	11296
820	51491	11226
821	51515	11155
822	51541	11084
823	51580	11017
824	51619	10949
825	51642	10878
826	51666	10808
827	51687	10737
828	51713	10667
829	51733	10596
830	51760	10526
831	51802	10460
832	51824	10389
833	51850	10320
834	51878	10251
835	51906	10182
836	51930	10113
837	51957	10044
838	51975	9973
839	52020	9908
840	52045	9839
841	52062	9769
842	52117	9706
843	52142	9637
844	52157	9567
845	52178	9498
846	52194	9428
847	52212	9358
848	52234	9290
849	52261	9222
850	52283	9154
851	52301	9085
852	52334	9018
853	52352	8950
854	52370	8881
855	52392	8813
856	52413	8745
857	52431	8677
858	52451	8609
859	52486	8544
860	52505	8476
861	52529	8409
862	52573	8345
863	52599	8279
864	52622	8212
865	52643	8145
866	52666	8079
867	52779	8026
868	52810	7961
869	52856	7898
870	52986	7847
871	53076	7791
872	53158	7733
873	53217	7672
874	53277	7611
875	53367	7554
876	53460	7497
877	53549	7440
878	53629	7382
879	53714	7324
880	53797	7266
881	53906	7212
882	54073	7164
883	54180	7109
884	54311	7057
885	54350	6993
886	54450	6936
887	54649	6892
888	54783	6840
889	54867	6781
890	54923	6719
891	55025	6662
892	55107	6603
893	55207	6545
894	55257	6482
895	55335	6422
896	55467	6369
897	55576	6312
898	55617	6248
899	55656	6184
900	55709	6121
901	55768	6059
902	55849	5999
903	55894	5935
904	55967	5875
905	56020	5812
906	56076	5749
907	56160	5690
908	56196	5625
909	56248	5563
910	56294	5499
911	56331	5435
912	56365	5371
913	56408	5307
914	56460	5244
915	56512	5182
916	56579	5121
917	56624	5057
918	56664	4994
919	56709	4931
920	56769	4869
921	56802	4805
922	56877	4744
923	56994	4687
924	57084	4628
925	57134	4565
926	57213	4505
927	57251	4441
928	57317	4380
929	57352	4316
930	57433	4256
931	57503	4195
932	57587	4135
933	57661	4074
934	57708	4011
935	57761	3949
936	57796	3886
937	57831	3822
938	57886	3760
939	57971	3700
940	58054	3639
941	58118	3578
942	58164	3515
943	58202	3452
944	58284	3392
945	58317	3328
946	58342	3265
947	58403	3203
948	58478	3142
949	58546	3081
950	58625	3020
951	58688	2959
952	58735	2896
953	58776	2834
954	58821	2771
955	58862	2709
956	58892	2646
957	58996	2586
958	59058	2524
959	59097	2462
960	59156	2400
961	59274	2341
962	59371	2281
963	59496	2221
964	59587	2161
965	59651	2099
966	59707	2037
967	59754	1975
968	59776	1912
969	59800	1849
970	59821	1786
971	59844	1723
972	59865	1661
973	59893	1598
974	59924	1536
975	59949	1474
976	59985	1412
977	60018	1350
978	60039	1287
979	60062	1225
980	60084	1163
981	60111	1101
982	60134	1039
983	60159	978
984	60180	916
985	60212	854
986	60233	793
987	60253	731
